scene,method,budget,seed,miou_selected,f1_selected,miou_query,f1_query
Instance_1/Porch,random,5,0,0.6154922842979431,0.7489880323410034,0.5572386980056763,0.7044435143470764
Instance_1/Porch,random,5,1,0.5895129442214966,0.7343543767929077,0.43685513734817505,0.5949017405509949
Instance_1/Pots,all,25,0,0.6032630801200867,0.7494121789932251,0.6115979552268982,0.7554988265037537
Instance_1/Pots,uniform,3,0,0.652208149433136,0.788823664188385,0.6161548495292664,0.7602556347846985
Instance_1/Pots,nbv,3,0,0.5588014721870422,0.7142782807350159,0.5977873206138611,0.745974063873291
Instance_1/Pots,random,3,0,0.5469452738761902,0.7070422768592834,0.5614902973175049,0.7166884541511536
Instance_1/Pots,random,3,1,0.7134414315223694,0.831216037273407,0.5742701888084412,0.7239501476287842
Instance_1/Pots,uniform,5,0,0.6339163780212402,0.7730581760406494,0.6391867995262146,0.7781614661216736
Instance_1/Pots,nbv,5,0,0.5882269144058228,0.7379403114318848,0.635384202003479,0.7755926251411438
Instance_1/Pots,random,5,0,0.5846810936927795,0.7363467216491699,0.6155359148979187,0.7603719234466553
Instance_1/Pots,random,5,1,0.5975831151008606,0.7440422773361206,0.5894067883491516,0.7359364032745361
Instance_1/Printing_area,all,25,0,0.6080710887908936,0.7471239566802979,0.6866843700408936,0.811851441860199
