scene,phase,combo,miou_query,f1_query
Garden,local3,2-6-10-13-23,0.456201,0.617166
Meeting_room,local3,0-3-14-17-20,0.501662,0.663330
Printing_area,local3,8-13-19-22-24,0.673371,0.793017
Lunch_room,local3,1-14-15-16-19,0.381617,0.528442
Pots,local3,1-8-9-21-23,0.616560,0.759677
Porch,local3,9-11-12-19-21,0.570493,0.708964
Lounge,local3,3-6-13-18-23,0.564085,0.719389
Cantina,local3,8-10-13-15-16,0.499495,0.651136
Meeting_room,local3,4-8-9-11-21,0.516552,0.673783
Garden,local3,1-6-10-13-14,0.489695,0.652824
Printing_area,local3,13-14-17-22-24,0.628582,0.758934
Lunch_room,restart3,3-8-16-18-22,0.310222,0.452694
Pots,local3,1-9-16-21-22,0.640293,0.778256
Porch,local3,0-5-9-12-19,0.498105,0.657126
Lounge,local3,0-13-18-23-24,0.587657,0.739780
Meeting_room,local3,3-8-19-21-23,0.522783,0.681382
Cantina,local3,1-6-13-15-20,0.433191,0.595758
Garden,local3,4-6-10-13-20,0.490938,0.654468
Printing_area,local3,1-13-16-22-24,0.655457,0.784794
Pots,local3,1-4-7-9-11,0.635385,0.773681
Lunch_room,local3,3-8-16-18-20,0.336469,0.484375
Porch,local3,1-2-9-19-20,0.588313,0.727588
Meeting_room,local3,0-9-17-21-23,0.534697,0.693869
Lounge,local3,1-3-13-22-23,0.536950,0.694692
Cantina,local3,6-8-15-16-23,0.503246,0.661896
Garden,local3,6-10-12-13-23,0.487411,0.651962
Printing_area,local3,8-13-17-19-24,0.667239,0.789189
Pots,local3,6-9-11-21-22,0.605025,0.750688
Porch,local3,4-5-12-16-19,0.505142,0.669403
Meeting_room,local3,7-9-15-18-23,0.524192,0.681679
Lunch_room,local3,3-4-5-14-20,0.292587,0.429278
Lounge,local3,0-1-10-13-23,0.554071,0.712078
Cantina,local3,2-9-12-16-23,0.470391,0.630579
Printing_area,local3,8-16-19-22-24,0.645329,0.773221
Garden,local3,4-6-12-15-19,0.531137,0.693287
Pots,local3,1-7-9-17-21,0.642641,0.779924
Porch,local3,5-12-18-19-20,0.578774,0.729131
Meeting_room,local3,6-9-17-21-23,0.526518,0.683818
Lounge,local3,4-13-15-23-24,0.522766,0.685424
Lunch_room,local3,0-2-3-16-21,0.365350,0.517159
Cantina,local3,9-13-15-21-23,0.480142,0.630702
Printing_area,local3,8-10-13-19-24,0.670632,0.791750
Garden,local3,4-9-12-15-19,0.468812,0.636163
Pots,local3,1-4-5-9-11,0.615128,0.757763
Porch,local3,9-12-13-19-20,0.559911,0.703105
Meeting_room,local3,0-3-8-9-24,0.527238,0.686125
Lounge,local3,0-3-5-23-24,0.585570,0.738175
Cantina,local3,1-12-15-16-22,0.504403,0.661608
Lunch_room,local3,0-1-3-19-24,0.356756,0.507084
Printing_area,local3,8-15-19-21-24,0.625466,0.756812
Garden,local3,1-3-4-15-19,0.494125,0.659208
